GEN_NUMBER;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;;;;CURRENT;AVERAGE;DISPERSION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<gensyn.Individual;object;at;0x7fe0fc3d8850>;1200;300;300;-3000;300;-1900;1900;-4200;500;100;500;1200;1200;500;600;1900;1900;300;1200;600;0;-3100;1900;500;0;1200;600;500;300;-2600;100;-300;0;1200;-3100;500;500;500;300;1900;500;300;100;1900;1200;-2600;1900;1900;1200;1900;14600;292;824464;64;64;10837264;64;4804864;2585664;20178064;43264;36864;43264;824464;824464;43264;94864;2585664;2585664;64;824464;94864;85264;11505664;2585664;43264;85264;824464;94864;43264;64;8363664;36864;350464;85264;824464;11505664;43264;43264;43264;64;2585664;43264;64;36864;2585664;824464;8363664;2585664;2585664;824464;2585664;2119846.72;1900;-4200
<gensyn.Individual;object;at;0x7fe0fda85210>;200;6300;200;2900;200;900;6300;6300;2900;400;1500;1500;6300;1500;6300;2900;0;2900;6300;6300;800;800;1500;2900;900;2900;2900;2900;6300;900;1500;900;800;2900;6300;2900;400;800;900;6300;6300;900;900;1500;200;2900;1500;2900;900;6300;132900;2658;6041764;13264164;6041764;58564;6041764;3090564;13264164;13264164;58564;5098564;1340964;1340964;13264164;1340964;13264164;58564;7064964;58564;13264164;13264164;3452164;3452164;1340964;58564;3090564;58564;58564;58564;13264164;3090564;1340964;3090564;3452164;58564;13264164;58564;5098564;3452164;3090564;13264164;13264164;3090564;3090564;1340964;6041764;58564;1340964;58564;3090564;13264164;4863600.72;6300;0
<gensyn.Individual;object;at;0x7fe0fc3d8b90>;6700;6700;6700;6700;6700;6700;6700;3400;5700;6000;6700;5800;5900;6700;6700;5900;5700;5900;5800;5900;5700;6700;6000;6700;5800;5800;6000;6700;2800;5900;5900;5700;5800;3400;6000;3400;6700;2200;5800;5800;5900;4900;3700;6000;6700;5700;3400;6700;5900;3600;284300;5686;1028196;1028196;1028196;1028196;1028196;1028196;1028196;5225796;196;98596;1028196;12996;45796;1028196;1028196;45796;196;45796;12996;45796;196;1028196;98596;1028196;12996;12996;98596;1028196;8328996;45796;45796;196;12996;5225796;98596;5225796;1028196;12152196;12996;12996;45796;617796;3944196;98596;1028196;196;5225796;1028196;45796;4351396;1333440.08;6700;2200
<gensyn.Individual;object;at;0x7fe0fda856d0>;6300;5600;5600;6900;6900;5700;4300;6900;5400;4200;6900;6900;6900;6900;6900;6900;6900;6900;6300;6900;6900;6300;5600;6900;5600;5600;6900;6900;6900;4400;6900;6300;6900;6300;6900;6900;5600;4400;6900;6300;6900;6900;6300;6900;6300;3900;6300;5600;6900;6300;313900;6278;484;459684;459684;386884;386884;334084;3912484;386884;770884;4318084;386884;386884;386884;386884;386884;386884;386884;386884;484;386884;386884;484;459684;386884;459684;459684;386884;386884;386884;3526884;386884;484;386884;484;386884;386884;459684;3526884;386884;484;386884;386884;484;386884;484;5654884;484;459684;386884;484;706506.32;6900;3900
<gensyn.Individual;object;at;0x7fe0fc3d8cd0>;4900;5500;5900;4900;5500;5000;5900;5900;5900;4900;5500;5900;5500;4900;5900;5000;4900;5500;5500;4100;4900;5100;4500;4900;4500;5900;4900;5500;4900;5000;5900;5900;5000;5500;5900;5900;4500;4900;5900;4900;5500;5900;5000;5000;5000;4400;5500;5900;5900;4900;264400;5288;150544;44944;374544;150544;44944;82944;374544;374544;374544;150544;44944;374544;44944;150544;374544;82944;150544;44944;44944;1411344;150544;35344;620944;150544;620944;374544;150544;44944;150544;82944;374544;374544;82944;44944;374544;374544;620944;150544;374544;150544;44944;374544;82944;82944;82944;788544;44944;374544;374544;150544;248045.12;5900;4100
<gensyn.Individual;object;at;0x7fe0fc3d88d0>;6200;6200;6200;4900;5000;5200;4600;5300;5600;5300;5600;5300;4500;1900;4900;4600;5000;6200;4900;1900;6200;2000;4500;5600;4600;5600;2700;-600;1900;5600;4900;6200;4500;5300;5200;5200;5000;5300;5000;5200;5200;5000;5200;6200;5200;6200;2000;6200;4900;5600;240900;4818;1909924;1909924;1909924;6724;33124;145924;47524;232324;611524;232324;611524;232324;101124;8514724;6724;47524;33124;1909924;6724;8514724;1909924;7941124;101124;611524;47524;611524;4485924;29354724;8514724;611524;6724;1909924;101124;232324;145924;145924;33124;232324;33124;145924;145924;33124;145924;1909924;145924;1909924;7941124;1909924;6724;611524;1940877.52;6200;-600
<gensyn.Individual;object;at;0x7fe0fc3d8510>;4700;5300;4700;4400;4800;4600;5000;4200;5000;4400;5000;4400;4800;4200;5000;4700;5300;4400;2500;5300;4400;4500;4800;4700;4600;4500;4500;4800;4700;4700;5000;5000;5000;4500;5300;4400;4400;4700;5000;4700;4700;5000;1900;4700;4800;4700;5000;4800;4700;4400;231600;4632;4624;446224;4624;53824;28224;1024;135424;186624;135424;53824;135424;53824;28224;186624;135424;4624;446224;53824;4545424;446224;53824;17424;28224;4624;1024;17424;17424;28224;4624;4624;135424;135424;135424;17424;446224;53824;53824;4624;135424;4624;4624;135424;7463824;4624;28224;4624;135424;28224;4624;53824;324883.52;5300;1900
<gensyn.Individual;object;at;0x7fe0fc0124d0>;1900;3300;300;4800;4100;4800;2800;2800;3800;3800;1600;2300;500;3800;3500;3300;4100;3800;3200;4000;4000;2800;3400;4800;3800;3300;4800;4000;3500;3300;4100;4100;3300;3500;3300;3800;3800;3400;3300;4000;3800;4000;3200;4800;2800;4800;3400;4000;4000;3800;175400;3508;2585664;43264;10291264;1669264;350464;1669264;501264;501264;85264;85264;3640464;1459264;9048064;85264;64;43264;350464;85264;94864;242064;242064;501264;11664;1669264;85264;43264;1669264;242064;64;43264;350464;350464;43264;64;43264;85264;85264;11664;43264;242064;85264;242064;94864;1669264;501264;1669264;11664;242064;242064;85264;817022.72;4800;300
<gensyn.Individual;object;at;0x7fe0fc012690>;3900;2600;4500;2000;3800;3800;4500;3800;2800;3900;3300;4500;4500;3400;3200;2800;2600;2800;3900;4500;3400;4500;-700;2800;4500;2000;3800;3800;0;3800;3400;3900;3900;3300;2300;4500;3800;4500;3200;3200;4500;4500;4500;3300;4500;4500;2600;4500;3400;3300;174600;3492;166464;795664;1016064;2226064;94864;94864;1016064;94864;478864;166464;36864;1016064;1016064;8464;85264;478864;795664;478864;166464;1016064;8464;1016064;17572864;478864;1016064;2226064;94864;94864;12194064;94864;8464;166464;166464;36864;1420864;1016064;94864;1016064;85264;85264;1016064;1016064;1016064;36864;1016064;1016064;795664;1016064;8464;36864;1139006.72;4500;-700
<gensyn.Individual;object;at;0x7fe0fc3d8910>;3200;2300;6700;3800;-500;3700;6000;6700;6000;1200;3800;5100;3700;3800;6000;6000;1600;6000;300;3700;6000;6700;6000;1700;6700;6700;5100;3200;6000;1200;6000;5100;6700;5100;6000;6700;6700;3800;-700;3700;5100;-3200;6000;5100;1700;6000;5100;6700;1600;3800;215400;4308;1227664;4032064;5721664;258064;23116864;369664;2862864;5721664;2862864;9659664;258064;627264;369664;258064;2862864;2862864;7333264;2862864;16064064;369664;2862864;5721664;2862864;6801664;5721664;5721664;627264;1227664;2862864;9659664;2862864;627264;5721664;627264;2862864;5721664;5721664;258064;25080064;369664;627264;56370064;2862864;627264;6801664;2862864;627264;5721664;7333264;258064;5329782.72;6700;-3200
